plant_code,plant_name,state,county,unit,EIA,EIA_proposed,NEEDS,CAPD,NESHAP
6061,R D Morrow,Mississippi,Lamar,1,TRUE,FALSE,TRUE,TRUE,FALSE
6061,R D Morrow,Mississippi,Lamar,2,TRUE,FALSE,FALSE,TRUE,FALSE
6137,A B Brown,Indiana,Posey,1,FALSE,TRUE,FALSE,FALSE,FALSE
6137,A B Brown,Indiana,Posey,2,FALSE,TRUE,FALSE,FALSE,FALSE
6481,Intermountain Power Project,Utah,Millard,1,FALSE,TRUE,FALSE,FALSE,FALSE
6481,Intermountain Power Project,Utah,Millard,2,FALSE,TRUE,FALSE,FALSE,FALSE
6761,Rawhide,Colorado,Larimer,1,FALSE,TRUE,FALSE,FALSE,FALSE
6761,Rawhide,Colorado,Larimer,2,FALSE,TRUE,FALSE,FALSE,FALSE
7277,Lincoln Combustion,North Carolina,Lincoln,1,FALSE,TRUE,FALSE,TRUE,FALSE
10025,"RED-Rochester, LLC",New York,Monroe,1,FALSE,TRUE,FALSE,FALSE,FALSE
10154,Power Island,Texas,Brazoria,1,TRUE,FALSE,TRUE,FALSE,FALSE
10154,Power Island,Texas,Brazoria,2,TRUE,FALSE,TRUE,FALSE,FALSE
10319,Geismar,Louisiana,Ascension,1,FALSE,TRUE,FALSE,FALSE,FALSE
10350,Greenleaf 1,California,Sutter,1,TRUE,FALSE,TRUE,TRUE,FALSE
10350,Greenleaf 1,California,Sutter,2,TRUE,FALSE,TRUE,TRUE,FALSE
10427,New-Indy Ontario Mill,California,San Bernardino,1,TRUE,FALSE,TRUE,FALSE,FALSE
10427,New-Indy Ontario Mill,California,San Bernardino,2,TRUE,FALSE,TRUE,FALSE,FALSE
10554,Formosa Utility Venture Ltd,Texas,Calhoun,1,TRUE,FALSE,FALSE,FALSE,FALSE
10554,Formosa Utility Venture Ltd,Texas,Calhoun,2,TRUE,FALSE,FALSE,FALSE,FALSE
10554,Formosa Utility Venture Ltd,Texas,Calhoun,3,TRUE,FALSE,FALSE,FALSE,FALSE
50366,University of Notre Dame,Indiana,St Joseph,1,TRUE,FALSE,TRUE,FALSE,FALSE
50366,University of Notre Dame,Indiana,St Joseph,2,TRUE,FALSE,TRUE,FALSE,FALSE
50410,Chester Operations,Pennsylvania,Delaware,1,TRUE,FALSE,TRUE,FALSE,FALSE
50410,Chester Operations,Pennsylvania,Delaware,2,TRUE,FALSE,TRUE,FALSE,FALSE
