sector_name,is_CHP,state,county,plant_name,plant_code,unit_id,generator_id,prime_mover,nameplate_capacity_mw_EIA,nameplate_capacity_mw_CAPD,nameplate_capacity_mw_NESHAP,capacity_factor_percent,has_SCR_EIA,has_SCR_NEEDS,has_SCR_CAPD,has_SCR_NESHAP,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,is_multifuel_EIA,is_multifuel_NESHAP,is_fuel_switching,is_cofire,operating_year_EIA,operating_year_CAPD,permit_construction_date,turbine_make,turbine_model,emission_unit_description,x_coordinate,y_coordinate
Electric Utility,FALSE,Colorado,El Paso,South Plant,492,A4,A5 (40.63),GT,40.9,40.63,NA,8.9,NA,FALSE,FALSE,NA,NG,DFO,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,2023,2023,NA,NA,NA,NA,-104.833333,38.824444
Electric Utility,FALSE,Colorado,El Paso,South Plant,492,A5,A6 (40.63),GT,40.9,40.63,NA,8.4,NA,FALSE,FALSE,NA,NG,DFO,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,2023,2023,NA,NA,NA,NA,-104.833333,38.824444
Electric Utility,FALSE,Colorado,El Paso,South Plant,492,A6,A1 (40.63),GT,40.6,40.63,NA,8.8,NA,FALSE,FALSE,NA,NG,DFO,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,2023,2023,NA,NA,NA,NA,-104.833333,38.824444
IPP Non-CHP,FALSE,Connecticut,Fairfield,Bridgeport Station,568,CC1,"501 (375), 502 (200.6)",CT/CA,576.3,575.6,337.68,60.7,TRUE,TRUE,TRUE,TRUE,NG,DFO,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,2019,2019,2019,GE,7HA.02,GE 7HA.02 Combined cycle turbine and duct burner,-73.1844,41.1706
Electric Utility,FALSE,Florida,Escambia,Gulf Clean Energy Center,641,8A,8A (225),GT,243.1,225,243.1,4.2,NA,FALSE,FALSE,FALSE,NG,DFO,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,2021,2021,2022,GE,7F.05,Combustion Turbine Unit 8A,-87.2244,30.5661
Electric Utility,FALSE,Florida,Escambia,Gulf Clean Energy Center,641,8B,8B (225),GT,243.1,225,243.1,5.5,NA,FALSE,FALSE,FALSE,NG,DFO,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,2021,2021,2022,GE,7F.05,Combustion Turbine Unit 8B,-87.2244,30.5661
Electric Utility,FALSE,Florida,Escambia,Gulf Clean Energy Center,641,8C,8C (225),GT,243.1,225,243.1,4.8,NA,FALSE,FALSE,FALSE,NG,DFO,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,2021,2021,2022,GE,7F.05,Combustion Turbine Unit 8C,-87.2244,30.5661
Electric Utility,FALSE,Florida,Escambia,Gulf Clean Energy Center,641,8D,8D (225),GT,243.1,225,243.1,5,NA,FALSE,FALSE,FALSE,NG,DFO,NA,NA,NA,NA,TRUE,FALSE,TRUE,NA,2021,2021,2022,GE,7F.05,Combustion Turbine Unit 8D,-87.2244,30.5661
Electric Utility,FALSE,Florida,Hillsborough,Big Bend,645,CC1,"BBST1 (445.5), GT6 (392)",CT/CA,620.55,614.75,370,60.5,FALSE,TRUE,TRUE,TRUE,NG,NA,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,2021,2021,2019,NA,NA,CT 6,-82.4036,27.7944
Electric Utility,FALSE,Florida,Hillsborough,Big Bend,645,CC1,"GT5 (392), BBST1 (445.5)",CT/CA,620.55,614.75,370,58.4,FALSE,TRUE,TRUE,TRUE,NG,NA,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,2021,2021,2019,NA,NA,CT 5,-82.4036,27.7944
Electric Utility,FALSE,Florida,Polk,C D McIntosh Jr,676,GT2,GT2 (135),GT,130,135,NA,1.9,NA,FALSE,FALSE,NA,NG,DFO,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,2020,2020,NA,NA,NA,NA,-81.9229,28.0801
Electric Utility,FALSE,Georgia,Worth,Crisp Plant,753,GT2,GT2,GT,5,NA,NA,NA,NA,NA,NA,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2023,NA,NA,NA,NA,NA,-83.940734,31.844708
Electric Utility,FALSE,Kentucky,Muhlenberg,Paradise,1378,CT5,CT5,GT,231.2,NA,NA,NA,NA,NA,NA,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,2023,NA,NA,NA,NA,NA,-86.9783,37.2608
Electric Utility,FALSE,Kentucky,Muhlenberg,Paradise,1378,CT6,CT6,GT,231.2,NA,NA,NA,NA,NA,NA,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,2023,NA,NA,NA,NA,NA,-86.9783,37.2608
Electric Utility,FALSE,Kentucky,Muhlenberg,Paradise,1378,CT7,CT7,GT,231.2,NA,NA,NA,NA,NA,NA,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,2023,NA,NA,NA,NA,NA,-86.9783,37.2608
IPP Non-CHP,FALSE,Massachusetts,Barnstable,Canal,1599,3,3 (330),GT,330,330,NA,0,NA,TRUE,TRUE,NA,DFO,NG,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,2019,2019,NA,NA,NA,NA,-70.5097,41.7694
Electric Utility,FALSE,Massachusetts,Nantucket,Nantucket Hybrid,1615,18,18,GT,15.4,NA,NA,NA,NA,FALSE,NA,NA,DFO,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,2019,NA,NA,NA,NA,NA,-70.0517,41.2583
Electric Utility,FALSE,North Carolina,Buncombe,Asheville,2706,CC1,"CT5 (191.2), ST6 (102)",CT/CA,294,293.2,NA,72.1,TRUE,TRUE,TRUE,NA,NG,DFO,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,2019,2019,NA,NA,NA,NA,-82.5417,35.4731
Electric Utility,FALSE,North Carolina,Buncombe,Asheville,2706,CC2,"CT7 (191.2), ST8 (102)",CT/CA,294,293.2,NA,58.6,TRUE,TRUE,TRUE,NA,NG,DFO,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,2020,2019,NA,NA,NA,NA,-82.5417,35.4731
Electric Utility,FALSE,Texas,El Paso,Newman,3456,6,6,GT,227.8,NA,NA,NA,NA,NA,NA,NA,NG,DFO,NA,NA,NA,NA,TRUE,NA,FALSE,FALSE,2023,NA,NA,NA,NA,NA,-106.431777,31.983587
Electric Utility,FALSE,Mississippi,Lamar,R D Morrow,6061,CC1,"CTG (402), STG (155)",CT/CA,558,557,NA,51.8,FALSE,NA,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2023,2022,NA,NA,NA,NA,-89.394,31.2186
NA,NA,North Carolina,Lincoln,Lincoln Combustion Turbine,7277,17,17 (571),combustion turbine,NA,571,NA,0.5,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,-81.0347,35.4317
Industrial CHP,TRUE,Texas,Brazoria,Power Island,10154,GEN2,GEN2,GT,50,NA,NA,NA,NA,FALSE,NA,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2020,NA,NA,NA,NA,NA,-95.1952,29.2293
