state,county,plant_name,owner_name,unit,EIA,EIA_proposed,NEEDS,NESHAP
Texas,Galveston,Bacliff,NRG Texas LLC,5,TRUE,FALSE,TRUE,FALSE
Texas,Galveston,Bacliff,NRG Texas LLC,6,TRUE,FALSE,TRUE,FALSE
Texas,Galveston,Topaz Generating,"Topaz Generating, LLC",1,TRUE,FALSE,TRUE,FALSE
Texas,Galveston,Topaz Generating,"Topaz II, LLC",2,TRUE,FALSE,TRUE,FALSE
Texas,Galveston,Topaz Generating,"Topaz Generating, LLC",3,TRUE,FALSE,TRUE,FALSE
Texas,Galveston,Topaz Generating,"Topaz Generating, LLC",4,TRUE,FALSE,TRUE,FALSE
Texas,Galveston,Topaz Generating,"Topaz Generating, LLC",5,TRUE,FALSE,TRUE,FALSE
Texas,Galveston,Topaz Generating,"Topaz Generating, LLC",6,TRUE,FALSE,TRUE,FALSE
Texas,Galveston,Topaz Generating,"Topaz Generating, LLC",7,TRUE,FALSE,TRUE,FALSE
Texas,Galveston,Topaz Generating,"Topaz Generating, LLC",8,TRUE,FALSE,TRUE,FALSE
Texas,Galveston,Topaz Generating,"Topaz II, LLC",9,TRUE,FALSE,TRUE,FALSE
Texas,Galveston,Topaz Generating,"Topaz II, LLC",10,TRUE,FALSE,TRUE,FALSE
Texas,Guadalupe,Guadalupe Generating Station,NA,1,FALSE,TRUE,FALSE,FALSE
Texas,Guadalupe,Guadalupe Generating Station,NA,2,FALSE,TRUE,FALSE,FALSE
Texas,Harris,Friendswood Energy,Friendswood Energy Genco,1,TRUE,FALSE,TRUE,FALSE
Texas,Harris,HO Clarke Generating,"HO Clarke Generating, LLC",1,TRUE,FALSE,TRUE,FALSE
Texas,Harris,HO Clarke Generating,"HO Clarke Generating, LLC",2,TRUE,FALSE,TRUE,FALSE
Texas,Harris,HO Clarke Generating,"HO Clarke Generating, LLC",3,TRUE,FALSE,TRUE,FALSE
Texas,Harris,HO Clarke Generating,"HO Clarke Generating, LLC",4,TRUE,FALSE,TRUE,FALSE
Texas,Harris,HO Clarke Generating,"HO Clarke Generating, LLC",5,TRUE,FALSE,TRUE,FALSE
Texas,Harris,HO Clarke Generating,"HO Clarke Generating, LLC",6,TRUE,FALSE,TRUE,FALSE
Texas,Harris,HO Clarke Generating,"HO Clarke II, LLC",7,TRUE,FALSE,TRUE,FALSE
Texas,Harris,HO Clarke Generating,"HO Clarke II, LLC",8,TRUE,FALSE,TRUE,FALSE
Texas,Harris,NASA Johnson Space Center CHP,Energy Systems Group,1,TRUE,FALSE,TRUE,FALSE
Texas,Harris,NASA Johnson Space Center CHP,Energy Systems Group,2,TRUE,FALSE,TRUE,FALSE
Texas,Harris,NET Power La Porte Station,NET Power LLC,1,FALSE,TRUE,TRUE,FALSE
