mismatch_SCR,mismatch_date,plant_code,plant_name,generator_id,prime_mover,nameplate_capacity_mw_EIA,nameplate_capacity_mw_CAPD,nameplate_capacity_mw_NESHAP,capacity_factor_percent,has_SCR_EIA,has_SCR_NEEDS,has_SCR_CAPD,has_SCR_NESHAP,operating_year_EIA,operating_year_CAPD,permit_construction_date
TRUE,FALSE,65373,Brotman Power Station,CTG-2 (60.5),GT,60.5,60.5,NA,9.6,NA,FALSE,TRUE,NA,2023,2023,NA
TRUE,FALSE,65373,Brotman Power Station,CTG-3 (60.5),GT,60.5,60.5,NA,6.1,NA,FALSE,TRUE,NA,2023,2023,NA
TRUE,FALSE,65373,Brotman Power Station,CTG-4 (60.5),GT,60.5,60.5,NA,8.7,NA,FALSE,TRUE,NA,2023,2023,NA
TRUE,FALSE,65373,Brotman Power Station,CTG-5 (60.5),GT,60.5,60.5,NA,7.8,NA,FALSE,TRUE,NA,2023,2023,NA
TRUE,FALSE,65373,Brotman Power Station,CTG-6 (60.5),GT,60.5,60.5,NA,7.7,NA,FALSE,TRUE,NA,2023,2023,NA
TRUE,FALSE,65405,"Flint Hills Resources Pine Bend, LLC",CTG,CT/CA,73.4,NA,NA,NA,TRUE,FALSE,NA,NA,2019,NA,NA
TRUE,FALSE,61322,Long Ridge Energy Generation,HPPP1 (521.9),CS,521.9,521.9,NA,82.2,FALSE,TRUE,TRUE,NA,2021,2021,NA
TRUE,FALSE,61035,Birdsboro Power,GEN1 (488),CS,525,488,NA,70.5,FALSE,TRUE,TRUE,NA,2019,2019,NA
TRUE,FALSE,60345,Okeechobee Clean Energy Center,1A,CT/CA,572.39,NA,NA,NA,FALSE,TRUE,NA,NA,2019,NA,NA
TRUE,FALSE,60345,Okeechobee Clean Energy Center,1B,CT/CA,572.39,NA,NA,NA,FALSE,TRUE,NA,NA,2019,NA,NA
TRUE,FALSE,60345,Okeechobee Clean Energy Center,1C,CT/CA,572.39,NA,NA,NA,FALSE,TRUE,NA,NA,2019,NA,NA
TRUE,FALSE,63931,CPV Three Rivers Energy Center,GEN1 (625),CS,650,625,NA,29.8,TRUE,FALSE,TRUE,NA,2023,2023,NA
TRUE,FALSE,63931,CPV Three Rivers Energy Center,GEN2 (625),CS,650,625,NA,31.5,TRUE,FALSE,TRUE,NA,2023,2023,NA
TRUE,FALSE,65978,Dania Beach 7,"7GT1 (385.6), ST7 (391.8)",CT/CA,723.85,581.5,430,51.3,FALSE,FALSE,TRUE,TRUE,2022,2022,2022
TRUE,FALSE,65978,Dania Beach 7,"ST7 (391.8), 7GT2 (385.6)",CT/CA,723.85,581.5,430,60.8,FALSE,FALSE,TRUE,TRUE,2022,2022,2022
TRUE,FALSE,56,Lowman Energy Center,"LEC1 (454.5), LEC2 (272.2)",CT/CA,732.7,726.7,NA,27.6,TRUE,FALSE,TRUE,NA,2023,2023,NA
TRUE,FALSE,3,Barry,"A3C1 (457), A3ST (305.1)",CT/CA,774,762.1,727,4.2,FALSE,TRUE,TRUE,TRUE,2023,2023,2023
FALSE,TRUE,64854,Primient,GTG01 (30.9),GT,30.9,30.9,NA,54.9,NA,NA,FALSE,FALSE,2021,2021,2019
FALSE,TRUE,64854,Primient,GTG02 (30.9),GT,30.9,30.9,NA,47.8,NA,NA,FALSE,FALSE,2021,2021,2019
FALSE,TRUE,10350,Greenleaf 1,CTGA (34.9),GT,34.9,34.9,NA,0.4,NA,TRUE,TRUE,NA,2022,2021,NA
FALSE,TRUE,10350,Greenleaf 1,CTGB (34.9),GT,34.9,34.9,NA,0.4,NA,TRUE,TRUE,NA,2022,2021,NA
FALSE,TRUE,55218,Hinds Energy Facility,H04BS (49.1),GT,49.1,49.1,NA,1.5,NA,FALSE,FALSE,NA,2020,2019,NA
FALSE,TRUE,61241,Tres City Power LLC,VC-1 (50),GT,50,50,NA,6.7,NA,TRUE,TRUE,NA,2020,2019,NA
FALSE,TRUE,61241,Tres City Power LLC,VC-2 (50),GT,50,50,NA,2.9,NA,TRUE,TRUE,NA,2020,2019,NA
FALSE,TRUE,61966,Victoria Port Power II LLC,VP2-1 (50),GT,50,50,NA,13.8,NA,TRUE,TRUE,NA,2022,2021,NA
FALSE,TRUE,61966,Victoria Port Power II LLC,VP2-2 (50),GT,50,50,NA,15,NA,TRUE,TRUE,NA,2022,2021,NA
FALSE,TRUE,63335,HO Clarke Generating,CTG-1 (60.5),GT,60.5,60.5,NA,11.1,NA,TRUE,TRUE,NA,2021,2020,NA
FALSE,TRUE,63335,HO Clarke Generating,CTG-2 (60.5),GT,60.5,60.5,NA,13.4,NA,TRUE,TRUE,NA,2021,2020,NA
FALSE,TRUE,63335,HO Clarke Generating,CTG-3 (60.5),GT,60.5,60.5,NA,9.8,NA,TRUE,TRUE,NA,2021,2020,NA
FALSE,TRUE,63335,HO Clarke Generating,CTG-4 (60.5),GT,60.5,60.5,NA,14.3,NA,TRUE,TRUE,NA,2021,2020,NA
FALSE,TRUE,63335,HO Clarke Generating,CTG-5 (60.5),GT,60.5,60.5,NA,12.7,NA,TRUE,TRUE,NA,2021,2020,NA
FALSE,TRUE,63335,HO Clarke Generating,CTG-6 (60.5),GT,60.5,60.5,NA,12.1,NA,TRUE,TRUE,NA,2021,2020,NA
FALSE,TRUE,641,Gulf Clean Energy Center,8A (225),GT,243.1,225,243.1,4.2,NA,FALSE,FALSE,FALSE,2021,2021,2022
FALSE,TRUE,641,Gulf Clean Energy Center,8B (225),GT,243.1,225,243.1,5.5,NA,FALSE,FALSE,FALSE,2021,2021,2022
FALSE,TRUE,641,Gulf Clean Energy Center,8C (225),GT,243.1,225,243.1,4.8,NA,FALSE,FALSE,FALSE,2021,2021,2022
FALSE,TRUE,641,Gulf Clean Energy Center,8D (225),GT,243.1,225,243.1,5,NA,FALSE,FALSE,FALSE,2021,2021,2022
FALSE,TRUE,2706,Asheville,"CT7 (191.2), ST8 (102)",CT/CA,294,293.2,NA,58.6,TRUE,TRUE,TRUE,NA,2020,2019,NA
FALSE,TRUE,57185,Cricket Valley Energy,"CT1 (236.3), ST1 (174.3)",CT/CA,437.5,410.6,NA,51.5,TRUE,TRUE,TRUE,NA,2020,2019,NA
FALSE,TRUE,57185,Cricket Valley Energy,"CT2 (236.3), ST2 (174.3)",CT/CA,437.5,410.6,NA,46.5,TRUE,TRUE,TRUE,NA,2020,2019,NA
FALSE,TRUE,60925,Montgomery County,"1B (250), 1C (500)",CT/CA,500,500,NA,63.7,TRUE,TRUE,TRUE,NA,2021,2020,NA
FALSE,TRUE,60925,Montgomery County,"1C (500), 1A (250)",CT/CA,500,500,NA,66.1,TRUE,TRUE,TRUE,NA,2021,2020,NA
FALSE,TRUE,61028,Hickory Run Energy Station,"CTG1 (311), STG1 (450)",CT/CA,516.85,536,NA,72.1,TRUE,TRUE,TRUE,NA,2020,2019,NA
FALSE,TRUE,61028,Hickory Run Energy Station,"STG1 (450), CTG2 (311)",CT/CA,516.85,536,NA,72.1,TRUE,TRUE,TRUE,NA,2020,2019,NA
FALSE,TRUE,55460,Indeck Niles Energy Center,"CT2 (370.6), ST1 (368.1)",CT/CA,587.2,554.65,NA,75,TRUE,TRUE,TRUE,NA,2022,2021,NA
FALSE,TRUE,62926,"Jackson Generation, LLC",01 (644.3),CS,644.3,644.3,NA,64.7,TRUE,TRUE,TRUE,NA,2022,2021,NA
FALSE,TRUE,62926,"Jackson Generation, LLC",02 (644.3),CS,644.3,644.3,NA,60.9,TRUE,TRUE,TRUE,NA,2022,2021,NA
FALSE,TRUE,63259,Delta Energy Park,"DEPST (89.2), DEPC3 (58)",CT/CA,NA,102.6,NA,42.3,NA,TRUE,TRUE,NA,2022,2021,NA
